ds,y
1/28/2019,96
1/29/2019,62
1/30/2019,50
1/31/2019,60
2/1/2019,46
2/2/2019,64
2/3/2019,68
2/4/2019,78
2/5/2019,94
2/6/2019,69
2/7/2019,84
2/8/2019,70
2/9/2019,84
2/10/2019,94
2/11/2019,102
2/12/2019,83
2/13/2019,72
2/14/2019,70
2/15/2019,67
2/16/2019,86
2/17/2019,81
2/18/2019,85
2/19/2019,73
2/20/2019,74
2/21/2019,67
2/22/2019,52
2/23/2019,75
2/24/2019,65
2/25/2019,52
2/26/2019,50
2/27/2019,42
2/28/2019,41
3/1/2019,52
3/2/2019,50
3/3/2019,42
3/4/2019,43
3/5/2019,50
3/6/2019,34
3/7/2019,29
3/8/2019,30
3/9/2019,41
3/10/2019,46
3/11/2019,60
3/12/2019,34
3/13/2019,38
3/14/2019,31
3/15/2019,34
3/16/2019,36
3/17/2019,33
3/18/2019,37
3/19/2019,39
3/20/2019,28
3/21/2019,15
3/22/2019,25
3/23/2019,18
3/24/2019,21
3/25/2019,25
3/26/2019,17
3/27/2019,21
3/28/2019,15
3/29/2019,19
3/30/2019,25
3/31/2019,14
4/1/2019,25
4/2/2019,21
4/3/2019,31
4/4/2019,20
4/5/2019,14
4/6/2019,12
4/7/2019,19
4/8/2019,11
4/9/2019,18
4/10/2019,10
4/11/2019,18
4/12/2019,13
4/13/2019,16
4/14/2019,19
4/15/2019,23
4/16/2019,9
4/17/2019,23
4/18/2019,10
4/19/2019,11
4/20/2019,8
4/21/2019,10
4/22/2019,14
4/23/2019,9
4/24/2019,12
4/25/2019,20
4/26/2019,15
4/27/2019,19
4/28/2019,7
4/29/2019,18
4/30/2019,31
5/1/2019,6
5/2/2019,19
5/3/2019,13
5/4/2019,16
5/5/2019,7
5/6/2019,9
5/7/2019,13
5/8/2019,2
5/9/2019,17
5/10/2019,8
5/11/2019,3
5/12/2019,1
5/13/2019,7
5/14/2019,4
5/15/2019,7
5/16/2019,8
5/17/2019,2
5/18/2019,3
5/20/2019,9
5/21/2019,3
5/22/2019,3
5/23/2019,2
5/24/2019,4
5/25/2019,4
5/26/2019,5
5/27/2019,3
5/28/2019,4
5/29/2019,10
5/30/2019,8
5/31/2019,5
6/1/2019,7
6/2/2019,2
6/3/2019,3
6/4/2019,6
6/5/2019,3
6/6/2019,2
6/7/2019,8
6/8/2019,7
6/9/2019,1
6/10/2019,3
6/11/2019,6
6/12/2019,5
6/13/2019,4
6/14/2019,8
6/15/2019,4
6/16/2019,9
6/17/2019,1
6/19/2019,4
6/20/2019,4
6/21/2019,2
6/23/2019,5
6/24/2019,7
6/25/2019,4
6/26/2019,6
6/27/2019,3
6/28/2019,2
6/29/2019,6
6/30/2019,7
7/1/2019,5
7/2/2019,2
7/3/2019,3
7/4/2019,6
7/6/2019,2
7/7/2019,6
7/8/2019,2
7/9/2019,3
7/10/2019,1
7/11/2019,4
7/12/2019,5
7/13/2019,4
7/14/2019,9
7/15/2019,4
7/16/2019,7
7/17/2019,2
7/18/2019,6
7/19/2019,5
7/20/2019,3
7/21/2019,4
7/22/2019,5
7/23/2019,6
7/24/2019,3
7/25/2019,5
7/26/2019,4
7/27/2019,3
7/28/2019,2
7/29/2019,7
7/30/2019,3
8/1/2019,1
8/2/2019,7
8/4/2019,8
8/5/2019,5
8/6/2019,4
8/7/2019,8
8/8/2019,5
8/9/2019,1
8/10/2019,3
8/11/2019,4
8/12/2019,6
8/13/2019,6
8/14/2019,8
8/15/2019,2
8/16/2019,5
8/17/2019,3
8/18/2019,10
8/19/2019,3
8/20/2019,7
8/21/2019,2
8/22/2019,2
8/23/2019,7
8/24/2019,4
8/25/2019,4
8/26/2019,6
8/27/2019,8
8/28/2019,16
8/29/2019,5
8/30/2019,3
8/31/2019,5
9/1/2019,5
9/2/2019,2
9/3/2019,5
9/4/2019,5
9/7/2019,1
9/8/2019,2
9/9/2019,3
9/10/2019,4
9/11/2019,2
9/12/2019,8
9/13/2019,5
9/14/2019,4
9/15/2019,4
9/16/2019,3
9/17/2019,5
9/18/2019,5
9/19/2019,1
9/20/2019,5
9/22/2019,6
9/23/2019,2
9/24/2019,2
9/25/2019,4
9/26/2019,1
9/27/2019,6
9/28/2019,5
9/29/2019,4
9/30/2019,2
10/1/2019,3
10/2/2019,5
10/3/2019,1
10/4/2019,7
10/5/2019,4
10/6/2019,4
10/7/2019,10
10/8/2019,5
10/9/2019,4
10/10/2019,4
10/11/2019,6
10/12/2019,8
10/13/2019,5
10/14/2019,10
10/15/2019,9
10/16/2019,4
10/17/2019,8
10/18/2019,2
10/19/2019,8
10/20/2019,13
10/21/2019,8
10/22/2019,11
10/23/2019,11
10/24/2019,7
10/25/2019,7
10/26/2019,11
10/27/2019,8
10/28/2019,6
10/29/2019,17
10/30/2019,14
10/31/2019,11
11/1/2019,11
11/2/2019,20
11/3/2019,19
11/4/2019,19
11/5/2019,29
11/6/2019,24
11/7/2019,18
11/8/2019,24
11/9/2019,21
11/10/2019,25
11/11/2019,22
11/12/2019,27
11/13/2019,29
11/14/2019,25
11/15/2019,14
11/16/2019,24
11/17/2019,28
11/18/2019,40
11/19/2019,42
11/20/2019,31
11/21/2019,42
11/22/2019,52
11/23/2019,38
11/24/2019,44
11/25/2019,44
11/26/2019,52
11/27/2019,57
11/28/2019,40
11/29/2019,47
11/30/2019,48
12/1/2019,43
12/2/2019,44
12/3/2019,40
12/4/2019,36
12/5/2019,43
12/6/2019,42
12/7/2019,36
12/8/2019,79
12/9/2019,49
12/10/2019,63
12/11/2019,40
12/12/2019,59
12/13/2019,45
12/14/2019,42
12/15/2019,45
12/16/2019,61
12/17/2019,84
12/18/2019,62
12/19/2019,65
12/20/2019,64
12/21/2019,78
12/22/2019,79
12/23/2019,81
12/24/2019,73
12/25/2019,124
12/26/2019,97
12/27/2019,98
12/28/2019,104
12/29/2019,101
12/30/2019,111
12/31/2019,99
