ds,y
9/22/2018,2
9/23/2018,2
9/24/2018,1
9/25/2018,1
9/26/2018,2
9/27/2018,0
9/28/2018,2
9/29/2018,0
9/30/2018,2
10/1/2018,2
10/2/2018,0
10/3/2018,0
10/4/2018,0
10/5/2018,0
10/6/2018,0
10/7/2018,0
10/8/2018,1
10/9/2018,2
10/10/2018,2
10/11/2018,0
10/12/2018,3
10/13/2018,1
10/14/2018,2
10/15/2018,2
10/16/2018,4
10/17/2018,1
10/18/2018,1
10/19/2018,1
10/20/2018,2
10/21/2018,2
10/22/2018,1
10/23/2018,2
10/24/2018,0
10/25/2018,2
10/26/2018,1
10/27/2018,3
10/28/2018,0
10/29/2018,1
10/30/2018,2
10/31/2018,3
11/1/2018,6
11/2/2018,3
11/3/2018,2
11/4/2018,9
11/5/2018,5
11/6/2018,9
11/7/2018,2
11/8/2018,1
11/9/2018,2
11/10/2018,1
11/11/2018,7
11/12/2018,3
11/13/2018,3
11/14/2018,3
11/15/2018,6
11/16/2018,5
11/17/2018,7
11/18/2018,1
11/19/2018,3
11/20/2018,5
11/21/2018,7
11/22/2018,4
11/23/2018,2
11/24/2018,8
11/25/2018,8
11/26/2018,2
11/27/2018,4
11/28/2018,7
11/29/2018,2
11/30/2018,3
12/1/2018,6
12/2/2018,4
12/3/2018,9
12/4/2018,6
12/5/2018,3
12/6/2018,5
12/7/2018,8
12/8/2018,8
12/9/2018,7
12/10/2018,12
12/11/2018,9
12/12/2018,12
12/13/2018,7
12/14/2018,13
12/15/2018,14
12/16/2018,17
12/17/2018,15
12/18/2018,19
12/19/2018,23
12/20/2018,7
12/21/2018,12
12/22/2018,14
12/23/2018,25
12/24/2018,11
12/25/2018,20
12/26/2018,26
12/27/2018,20
12/28/2018,27
12/29/2018,20
12/30/2018,15
12/31/2018,16
1/1/2019,15
1/2/2019,20
1/3/2019,9
1/4/2019,14
1/5/2019,9
1/6/2019,8
1/7/2019,8
1/8/2019,18
1/9/2019,23
1/10/2019,11
1/11/2019,9
1/12/2019,11
1/13/2019,15
1/14/2019,12
1/15/2019,13
1/16/2019,10
1/17/2019,7
1/18/2019,12
1/19/2019,22
1/20/2019,13
1/21/2019,24
1/22/2019,24
1/23/2019,21
1/24/2019,17
1/25/2019,8
1/26/2019,15
1/27/2019,11
1/28/2019,15
1/29/2019,16
1/30/2019,20
1/31/2019,24
2/1/2019,25
2/2/2019,29
2/3/2019,31
2/4/2019,24
2/5/2019,31
2/6/2019,22
2/7/2019,26
2/8/2019,20
2/9/2019,29
2/10/2019,22
2/11/2019,25
2/12/2019,25
2/13/2019,14
2/14/2019,21
2/15/2019,21
2/16/2019,23
2/17/2019,30
2/18/2019,28
2/19/2019,29
2/20/2019,26
2/21/2019,7
2/22/2019,18
2/23/2019,29
2/24/2019,11
2/25/2019,16
2/26/2019,19
2/27/2019,16
2/28/2019,11
3/1/2019,11
3/2/2019,18
3/3/2019,27
3/4/2019,20
3/5/2019,19
3/6/2019,12
3/7/2019,12
3/8/2019,11
3/9/2019,16
3/10/2019,21
3/11/2019,16
3/12/2019,12
3/13/2019,14
3/14/2019,20
3/15/2019,8
3/16/2019,9
3/17/2019,7
3/18/2019,10
3/19/2019,11
3/20/2019,14
3/21/2019,17
3/22/2019,12
3/23/2019,8
3/24/2019,5
3/25/2019,6
3/26/2019,10
3/27/2019,9
3/28/2019,3
3/29/2019,15
3/30/2019,7
3/31/2019,13
4/1/2019,11
4/2/2019,7
4/3/2019,8
4/4/2019,3
4/5/2019,7
4/6/2019,8
4/7/2019,7
4/8/2019,7
4/9/2019,7
4/10/2019,5
4/11/2019,5
4/12/2019,6
4/13/2019,5
4/14/2019,6
4/15/2019,2
4/16/2019,3
4/17/2019,1
4/18/2019,10
4/19/2019,4
4/20/2019,2
4/21/2019,5
4/22/2019,6
4/23/2019,2
4/24/2019,3
4/25/2019,7
4/26/2019,3
4/27/2019,5
4/28/2019,4
4/29/2019,2
4/30/2019,13
5/1/2019,4
5/2/2019,3
5/3/2019,6
5/4/2019,5
5/5/2019,4
5/6/2019,7
5/7/2019,7
5/8/2019,3
5/9/2019,1
5/10/2019,0
5/11/2019,1
5/12/2019,1
5/13/2019,5
5/14/2019,1
5/15/2019,6
5/16/2019,1
5/17/2019,3
5/18/2019,4
5/19/2019,1
5/20/2019,2
5/21/2019,1
5/22/2019,0
5/23/2019,1
5/24/2019,0
5/25/2019,1
5/26/2019,1
5/27/2019,2
5/28/2019,1
5/29/2019,2
5/30/2019,3
5/31/2019,1
6/1/2019,0
6/2/2019,3
6/3/2019,3
6/4/2019,2
6/5/2019,2
6/6/2019,1
6/7/2019,3
6/8/2019,2
6/9/2019,2
6/10/2019,2
6/11/2019,2
6/12/2019,4
6/13/2019,1
6/14/2019,0
6/15/2019,0
6/16/2019,1
6/17/2019,2
6/18/2019,0
6/19/2019,0
6/20/2019,1
6/21/2019,1
6/22/2019,0
6/23/2019,2
6/24/2019,3
6/25/2019,0
6/26/2019,2
6/27/2019,0
6/28/2019,3
6/29/2019,1
6/30/2019,0
7/1/2019,1
7/2/2019,4
7/3/2019,1
7/4/2019,2
7/5/2019,0
7/6/2019,1
7/7/2019,0
7/8/2019,1
7/9/2019,4
7/10/2019,2
7/11/2019,2
7/12/2019,1
7/13/2019,2
7/14/2019,3
7/15/2019,1
7/16/2019,1
7/17/2019,1
7/18/2019,0
7/19/2019,0
7/20/2019,0
7/21/2019,1
7/22/2019,1
7/23/2019,4
7/24/2019,0
7/25/2019,0
7/26/2019,0
7/27/2019,3
7/28/2019,1
7/29/2019,0
7/30/2019,0
7/31/2019,1
8/1/2019,0
8/2/2019,1
8/3/2019,2
8/4/2019,0
8/5/2019,1
8/6/2019,3
8/7/2019,0
8/8/2019,0
8/9/2019,1
8/10/2019,1
8/11/2019,0
8/12/2019,2
8/13/2019,1
8/14/2019,2
8/15/2019,2
8/16/2019,1
8/17/2019,2
8/18/2019,0
8/19/2019,3
8/20/2019,2
8/21/2019,4
8/22/2019,0
8/23/2019,3
8/24/2019,4
8/25/2019,3
8/26/2019,3
8/27/2019,6
8/28/2019,3
8/29/2019,3
8/30/2019,2
8/31/2019,4
9/1/2019,3
9/2/2019,3
9/3/2019,2
9/4/2019,3
9/5/2019,5
9/6/2019,3
9/7/2019,4
9/8/2019,4
9/9/2019,4
9/10/2019,4
9/11/2019,6
9/12/2019,6
9/13/2019,1
9/14/2019,2
9/15/2019,2
9/16/2019,7
9/17/2019,5
9/18/2019,6
9/19/2019,11
9/20/2019,3
9/21/2019,7
9/22/2019,7
9/23/2019,8
9/24/2019,5
9/25/2019,4
9/26/2019,1
9/27/2019,7
9/28/2019,6
9/29/2019,7
9/30/2019,8
10/1/2019,11
10/2/2019,5
10/3/2019,17
10/4/2019,8
10/5/2019,14
10/6/2019,23
10/7/2019,14
10/8/2019,13
10/9/2019,26
10/10/2019,22
10/11/2019,13
10/12/2019,16
10/13/2019,13
10/14/2019,19
10/15/2019,18
10/16/2019,34
10/17/2019,20
10/18/2019,12
10/19/2019,23
10/20/2019,18
10/21/2019,31
10/22/2019,22
10/23/2019,18
10/24/2019,26
10/25/2019,30
10/26/2019,23
10/27/2019,37
10/28/2019,40
10/29/2019,43
10/30/2019,35
10/31/2019,39
11/1/2019,25
