ds,y
10/15/2018,2
10/16/2018,4
10/17/2018,1
10/18/2018,1
10/19/2018,1
10/20/2018,2
10/21/2018,2
10/22/2018,1
10/23/2018,3
10/24/2018,1
10/25/2018,3
10/26/2018,1
10/27/2018,4
10/28/2018,1
10/29/2018,2
10/30/2018,2
10/31/2018,3
11/1/2018,6
11/2/2018,4
11/3/2018,3
11/4/2018,9
11/5/2018,5
11/6/2018,9
11/7/2018,3
11/8/2018,1
11/9/2018,2
11/10/2018,1
11/11/2018,12
11/12/2018,8
11/13/2018,3
11/14/2018,5
11/15/2018,6
11/16/2018,5
11/17/2018,8
11/18/2018,4
11/19/2018,5
11/20/2018,11
11/21/2018,7
11/22/2018,5
11/23/2018,4
11/24/2018,18
11/25/2018,9
11/26/2018,5
11/27/2018,8
11/28/2018,11
11/29/2018,6
11/30/2018,5
12/1/2018,9
12/2/2018,9
12/3/2018,11
12/4/2018,6
12/5/2018,4
12/6/2018,7
12/7/2018,9
12/8/2018,8
12/9/2018,10
12/10/2018,13
12/11/2018,12
12/12/2018,12
12/13/2018,11
12/14/2018,16
12/15/2018,14
12/16/2018,20
12/17/2018,22
12/18/2018,22
12/19/2018,24
12/20/2018,14
12/21/2018,21
12/22/2018,28
12/23/2018,36
12/24/2018,24
12/25/2018,41
12/26/2018,41
12/27/2018,32
12/28/2018,39
12/29/2018,33
12/30/2018,36
12/31/2018,27
1/1/2019,24
1/2/2019,30
1/3/2019,13
1/4/2019,20
1/5/2019,12
1/6/2019,17
1/7/2019,14
1/8/2019,20
1/9/2019,29
1/10/2019,15
1/11/2019,13
1/12/2019,17
1/13/2019,25
1/14/2019,18
1/15/2019,20
1/16/2019,25
1/17/2019,13
1/18/2019,15
1/19/2019,26
1/20/2019,23
1/21/2019,31
1/22/2019,32
1/23/2019,28
1/24/2019,23
1/25/2019,16
1/26/2019,20
1/27/2019,17
1/28/2019,28
1/29/2019,30
1/30/2019,28
1/31/2019,35
2/1/2019,31
2/2/2019,38
2/3/2019,45
2/4/2019,35
2/5/2019,44
2/6/2019,38
2/7/2019,40
2/8/2019,29
2/9/2019,43
2/10/2019,37
2/11/2019,43
2/12/2019,48
2/13/2019,18
2/14/2019,27
2/15/2019,29
2/16/2019,33
2/17/2019,48
2/18/2019,43
2/19/2019,51
2/20/2019,35
2/21/2019,15
2/22/2019,38
2/23/2019,36
2/24/2019,20
2/25/2019,24
2/26/2019,22
2/27/2019,22
2/28/2019,16
3/1/2019,21
3/2/2019,27
3/3/2019,31
3/4/2019,28
3/5/2019,23
3/6/2019,21
3/7/2019,22
3/8/2019,20
3/9/2019,22
3/10/2019,27
3/11/2019,24
3/12/2019,18
3/13/2019,24
3/14/2019,27
3/15/2019,13
3/16/2019,16
3/17/2019,16
3/18/2019,13
3/19/2019,14
3/20/2019,20
3/21/2019,23
3/22/2019,18
3/23/2019,11
3/24/2019,5
3/25/2019,11
3/26/2019,13
3/27/2019,12
3/28/2019,4
3/29/2019,17
3/30/2019,11
3/31/2019,16
4/1/2019,12
4/2/2019,10
4/3/2019,8
4/4/2019,4
4/5/2019,8
4/6/2019,15
4/7/2019,10
4/8/2019,10
4/9/2019,9
4/10/2019,7
4/11/2019,7
4/12/2019,7
4/13/2019,5
4/14/2019,6
4/15/2019,4
4/16/2019,6
4/17/2019,2
4/18/2019,12
4/19/2019,7
4/20/2019,4
4/21/2019,5
4/22/2019,7
4/23/2019,3
4/24/2019,6
4/25/2019,9
4/26/2019,6
4/27/2019,5
4/28/2019,5
4/29/2019,2
4/30/2019,15
5/1/2019,4
5/2/2019,4
5/3/2019,7
5/4/2019,5
5/5/2019,5
5/6/2019,8
5/7/2019,7
5/8/2019,3
5/9/2019,2
5/10/2019,2
5/11/2019,1
5/12/2019,1
5/13/2019,7
5/14/2019,2
5/15/2019,6
5/16/2019,1
5/17/2019,3
5/18/2019,4
5/19/2019,2
5/20/2019,2
5/21/2019,3
5/23/2019,1
5/24/2019,1
5/25/2019,1
5/26/2019,1
5/27/2019,3
5/28/2019,4
5/29/2019,2
5/30/2019,4
5/31/2019,1
6/2/2019,3
6/3/2019,4
6/4/2019,3
6/5/2019,2
6/6/2019,3
6/7/2019,3
6/8/2019,3
6/9/2019,2
6/10/2019,2
6/11/2019,2
6/12/2019,4
6/13/2019,1
6/16/2019,1
6/17/2019,2
6/18/2019,1
6/20/2019,1
6/21/2019,1
6/23/2019,2
6/24/2019,3
6/25/2019,1
6/26/2019,2
6/27/2019,1
6/28/2019,3
6/29/2019,1
7/1/2019,1
7/2/2019,7
7/3/2019,1
7/4/2019,2
7/6/2019,2
7/8/2019,1
7/9/2019,4
7/10/2019,2
7/11/2019,3
7/12/2019,1
7/13/2019,4
7/14/2019,5
7/15/2019,1
7/16/2019,2
7/17/2019,1
7/18/2019,1
7/20/2019,2
7/21/2019,1
7/22/2019,1
7/23/2019,5
7/24/2019,1
7/27/2019,3
7/28/2019,1
7/29/2019,2
7/31/2019,1
8/1/2019,1
8/2/2019,1
8/3/2019,2
8/5/2019,1
8/6/2019,3
8/9/2019,1
8/10/2019,1
8/12/2019,2
8/13/2019,1
8/14/2019,3
8/15/2019,4
8/16/2019,1
8/17/2019,2
8/19/2019,4
8/20/2019,2
8/21/2019,5
8/23/2019,3
8/24/2019,4
8/25/2019,3
8/26/2019,4
8/27/2019,6
8/28/2019,3
8/29/2019,4
8/30/2019,2
8/31/2019,6
9/1/2019,3
9/2/2019,4
9/3/2019,2
9/4/2019,5
9/5/2019,5
9/6/2019,3
9/7/2019,4
9/8/2019,4
9/9/2019,4
9/10/2019,6
9/11/2019,7
9/12/2019,6
9/13/2019,4
9/14/2019,5
9/15/2019,8
9/16/2019,9
9/17/2019,7
9/18/2019,7
9/19/2019,11
9/20/2019,3
9/21/2019,8
9/22/2019,10
9/23/2019,9
9/24/2019,5
9/25/2019,4
9/26/2019,3
9/27/2019,8
9/28/2019,7
9/29/2019,8
9/30/2019,8
10/1/2019,14
10/2/2019,7
10/3/2019,19
10/4/2019,12
10/5/2019,19
10/6/2019,28
10/7/2019,21
10/8/2019,17
10/9/2019,29
10/10/2019,23
10/11/2019,18
10/12/2019,25
10/13/2019,17
10/14/2019,30
10/15/2019,20
10/16/2019,42
10/17/2019,24
10/18/2019,17
10/19/2019,27
10/20/2019,22
10/21/2019,38
10/22/2019,26
10/23/2019,23
10/24/2019,29
10/25/2019,40
10/26/2019,32
10/27/2019,47
10/28/2019,47
10/29/2019,56
10/30/2019,42
10/31/2019,44
11/1/2019,37
11/2/2019,47
11/3/2019,49
11/4/2019,62
11/5/2019,61
11/6/2019,50
11/7/2019,57
11/8/2019,33
11/9/2019,36
11/10/2019,45
11/11/2019,55
11/12/2019,69
11/13/2019,51
11/14/2019,33
11/15/2019,42
11/16/2019,39
11/17/2019,41
11/18/2019,52
11/19/2019,34
11/20/2019,30
11/21/2019,42
11/22/2019,44
11/23/2019,33
11/24/2019,50
11/25/2019,36
11/26/2019,36
11/27/2019,36
11/28/2019,33
11/29/2019,50
11/30/2019,38
12/1/2019,55
12/2/2019,41
12/3/2019,27
12/4/2019,28
12/5/2019,30
12/6/2019,35
12/7/2019,42
12/8/2019,67
12/9/2019,54
12/10/2019,66
12/11/2019,37
12/12/2019,60
12/13/2019,68
12/14/2019,51
12/15/2019,67
12/16/2019,82
12/17/2019,85
12/18/2019,75
12/19/2019,59
12/20/2019,73
12/21/2019,60
12/22/2019,92
12/23/2019,70
12/24/2019,76
12/25/2019,88
12/26/2019,103
12/27/2019,87
12/28/2019,86
12/29/2019,95
12/30/2019,89
12/31/2019,68
1/1/2020,76
1/2/2020,83
1/3/2020,68
1/4/2020,86
1/5/2020,71
1/6/2020,60
1/7/2020,67
1/8/2020,59
1/9/2020,71
1/10/2020,60
1/11/2020,94
1/12/2020,96
1/13/2020,83
1/14/2020,75
1/15/2020,67
1/16/2020,95
1/17/2020,83
1/18/2020,90
1/19/2020,69
1/20/2020,70
1/21/2020,74
1/22/2020,65
1/23/2020,59
1/24/2020,84
1/25/2020,92
1/26/2020,104
1/27/2020,93
1/28/2020,99
1/29/2020,85
1/30/2020,81
1/31/2020,72
2/1/2020,92
2/2/2020,88
2/3/2020,97
2/4/2020,79
2/5/2020,86
2/6/2020,72
2/7/2020,75
2/8/2020,92
2/9/2020,100
2/10/2020,94
2/11/2020,99
2/12/2020,53
2/13/2020,73
2/14/2020,60
2/15/2020,78
2/16/2020,65
2/17/2020,70
2/18/2020,59
2/19/2020,81
2/20/2020,51
2/21/2020,44
2/22/2020,49
2/23/2020,44
2/24/2020,41
2/25/2020,41
2/26/2020,38
2/27/2020,37
2/28/2020,33
2/29/2020,41
3/1/2020,43
3/2/2020,70
3/3/2020,50
3/4/2020,61
3/5/2020,41
3/6/2020,39
3/7/2020,24
3/8/2020,38
3/9/2020,48
3/10/2020,36
3/11/2020,23
3/12/2020,50
3/13/2020,38
3/14/2020,31
3/15/2020,23
3/16/2020,21
3/17/2020,16
3/18/2020,26
3/19/2020,16
3/20/2020,10
3/21/2020,8
3/22/2020,11
3/23/2020,16
3/24/2020,8
3/25/2020,2
3/26/2020,9
3/27/2020,4
3/28/2020,2
3/29/2020,5
3/30/2020,3
3/31/2020,1
4/1/2020,1
4/2/2020,1
4/3/2020,1
4/6/2020,7
4/7/2020,1
4/9/2020,4
4/16/2020,1
4/18/2020,1
4/29/2020,1
5/5/2020,1
5/10/2020,1
5/15/2020,1
6/20/2020,1
7/18/2020,1
8/1/2020,1
8/3/2020,2
8/11/2020,1
8/19/2020,1
9/7/2020,1
9/14/2020,1
9/26/2020,2
10/9/2020,6
10/10/2020,1
10/14/2020,1
10/17/2020,5
10/21/2020,1
11/9/2020,1
11/10/2020,1
11/13/2020,1
11/15/2020,4
11/16/2020,1
11/17/2020,1
11/18/2020,1
11/27/2020,1
12/19/2020,3
12/20/2020,1
12/23/2020,1
12/26/2020,1
