,ds,y
1054,11/19/2012,126
1055,11/20/2012,110
1056,11/21/2012,111
1057,11/22/2012,83
1058,11/23/2012,116
1059,11/24/2012,112
1060,11/25/2012,108
1061,11/26/2012,125
1062,11/27/2012,129
1063,11/28/2012,117
1064,11/29/2012,114
1065,11/30/2012,125
1066,12/1/2012,96
1067,12/2/2012,130
1068,12/3/2012,131
1069,12/4/2012,130
1070,12/5/2012,121
1071,12/6/2012,120
1072,12/7/2012,118
1073,12/8/2012,90
1074,12/9/2012,110
1075,12/10/2012,134
1076,12/11/2012,126
1077,12/12/2012,132
1078,12/13/2012,125
1079,12/14/2012,121
1080,12/15/2012,117
1081,12/16/2012,122
1082,12/17/2012,134
1083,12/18/2012,137
1084,12/19/2012,124
1085,12/20/2012,113
1086,12/21/2012,105
1087,12/22/2012,115
1088,12/23/2012,114
1089,12/24/2012,118
1090,12/25/2012,122
1091,12/26/2012,143
1092,12/27/2012,138
1093,12/28/2012,132
1094,12/29/2012,145
1095,12/30/2012,144
1096,12/31/2012,128
1097,1/1/2013,169
1098,1/2/2013,179
1099,1/3/2013,157
1100,1/4/2013,134
1101,1/5/2013,123
1102,1/6/2013,141
1103,1/7/2013,142
1104,1/8/2013,159
1105,1/9/2013,155
1106,1/10/2013,153
1107,1/11/2013,151
1108,1/12/2013,119
1109,1/13/2013,114
1110,1/14/2013,138
1111,1/15/2013,130
1112,1/16/2013,120
1113,1/17/2013,120
1114,1/18/2013,112
1115,1/19/2013,115
1116,1/20/2013,112
1117,1/21/2013,122
1118,1/22/2013,127
1119,1/23/2013,134
1120,1/24/2013,120
1121,1/25/2013,126
1122,1/26/2013,102
1123,1/27/2013,116
1124,1/28/2013,158
1125,1/29/2013,127
1126,1/30/2013,135
1127,1/31/2013,134
1128,2/1/2013,106
1129,2/2/2013,103
1130,2/3/2013,102
1131,2/4/2013,143
1132,2/5/2013,112
1133,2/6/2013,128
1134,2/7/2013,154
1135,2/8/2013,139
1136,2/9/2013,125
1137,2/10/2013,133
1138,2/11/2013,131
1139,2/12/2013,140
1140,2/13/2013,117
1141,2/14/2013,105
1142,2/15/2013,111
1143,2/16/2013,120
1144,2/17/2013,107
1145,2/18/2013,153
1146,2/19/2013,127
1147,2/20/2013,132
1148,2/21/2013,128
1149,2/22/2013,139
1150,2/23/2013,128
1151,2/24/2013,111
1152,2/25/2013,141
1153,2/26/2013,119
1154,2/27/2013,133
1155,2/28/2013,127
1156,3/1/2013,128
1157,3/2/2013,124
1158,3/3/2013,133
1159,3/4/2013,154
1160,3/5/2013,147
1161,3/6/2013,133
1162,3/7/2013,128
1163,3/8/2013,121
1164,3/9/2013,101
1165,3/10/2013,119
1166,3/11/2013,176
1167,3/12/2013,135
1168,3/13/2013,155
1169,3/14/2013,141
1170,3/15/2013,139
1171,3/16/2013,129
1172,3/17/2013,129
1173,3/18/2013,154
1174,3/19/2013,163
1175,3/20/2013,145
1176,3/21/2013,145
1177,3/22/2013,130
1178,3/23/2013,135
1179,3/24/2013,112
1180,3/25/2013,141
1181,3/26/2013,126
1182,3/27/2013,129
1183,3/28/2013,121
1184,3/29/2013,137
1185,3/30/2013,132
1186,3/31/2013,133
1187,4/1/2013,174
1188,4/2/2013,175
1189,4/3/2013,131
1190,4/4/2013,132
1191,4/5/2013,138
1192,4/6/2013,121
1193,4/7/2013,117
1194,4/8/2013,156
1195,4/9/2013,148
1196,4/10/2013,147
1197,4/11/2013,129
1198,4/12/2013,128
1199,4/13/2013,117
1200,4/14/2013,114
1201,4/15/2013,151
1202,4/16/2013,137
1203,4/17/2013,134
1204,4/18/2013,129
1205,4/19/2013,122
1206,4/20/2013,83
1207,4/21/2013,121
1208,4/22/2013,148
1209,4/23/2013,140
1210,4/24/2013,116
1211,4/25/2013,129
1212,4/26/2013,122
1213,4/27/2013,94
1214,4/28/2013,123
1215,4/29/2013,141
1216,4/30/2013,119
1217,5/1/2013,135
1218,5/2/2013,103
1219,5/3/2013,113
1220,5/4/2013,99
1221,5/5/2013,138
1222,5/6/2013,124
1223,5/7/2013,116
1224,5/8/2013,116
1225,5/9/2013,135
1226,5/10/2013,134
1227,5/11/2013,109
1228,5/12/2013,85
1229,5/13/2013,143
1230,5/14/2013,139
